customer_id,first_name,last_name,email,phone,city
1000,Brenda,Saunders,btaylor@example.org,843-461-1504x6651,Hinesfurt
1001,Andrew,Martin,michael93@example.org,3379270269,North Dawntown
1002,Robert,Allison,joseph95@example.net,289.854.2464x7121,Danamouth
1003,Michael,Bell,amy12@example.net,3048567530,Port Joel
1004,Krista,Graham,dawnramos@example.com,565-771-7377,Zacharymouth
1005,Michael,Smith,jenniferbowers@example.com,5979412453,Mitchellberg
1006,Jennifer,Quinn,oscarhull@example.com,431.501.6575x93891,Brianshire
1007,Alyssa,Parker,lowezachary@example.com,(948)932-9774,North Thomasbury
1008,Kathryn,Vance,scott27@example.org,+1-764-422-4252x915,Lake Rebecca
1009,Ashley,King,zmeyers@example.net,735.439.1512,Dustinmouth
1010,Fred,Gonzales,choigabriel@example.net,+1-847-891-2715x33307,South Daltonchester
1011,Jessica,Martinez,zmclaughlin@example.com,+1-778-653-7922x4358,Hallport
1012,Cassandra,Wiley,cchan@example.net,315-309-6024x68101,Port Brianfurt
1013,Terrence,Huynh,joseph36@example.net,283.565.4157,New Darlenemouth
1014,Cory,Walters,kathleen49@example.com,246.824.2152,West Christina
1015,Jack,Young,kathleencampbell@example.org,768-982-9365x071,East Samantha
1016,Laura,Clark,regina76@example.net,+1-495-676-9438x977,Port Benjaminberg
1017,Jane,Christensen,cgrant@example.org,+1-639-579-6793x415,Christinemouth
1018,Tara,Stone,samanthacordova@example.com,+1-495-421-3541x99197,East Keithborough
1019,Justin,Jones,curtisnicholas@example.com,+1-374-710-5187x1682,Lake Latoya
1020,Marie,Ballard,crystal80@example.net,(425)319-2288x77214,Ramirezfort
1021,Trevor,Guerrero,shenry@example.net,+1-640-993-8153x894,New Davidfort
1022,Todd,Chavez,lindsayjohnson@example.com,298.947.0216,Christinemouth
1023,Tara,Cortez,romanteresa@example.net,591.223.4144,Watkinsfurt
1024,Walter,Bennett,morganholly@example.org,(817)393-8263,Castilloburgh
1025,Frederick,Duffy,xmartinez@example.net,(467)995-1994,Carrillomouth
1026,Michael,Sandoval,leesheila@example.com,(387)629-4341,Boydfurt
1027,Desiree,Warren,nathaniel16@example.com,+1-879-979-8964x00922,Barbaramouth
1028,Rebecca,Phillips,crystal72@example.net,277-237-5129x735,Port Michael
1029,Allen,Payne,steinkimberly@example.org,(506)580-9347x7297,North Jennifer
1030,Dwayne,Reynolds,davidsalas@example.org,001-936-650-8094x75025,Rojasberg
1031,Bradley,Martinez,neaton@example.net,968.263.3586x93346,Port Roberttown
1032,Christina,Watts,gjones@example.com,278.699.4189x716,Port Jillshire
1033,Christina,Clark,deborah12@example.net,001-310-806-1971,Port Charles
1034,Leslie,Schneider,kimberly02@example.org,7382599332,Gordonberg
1035,Tyler,Patel,angela89@example.net,721-667-8001x238,Castilloborough
1036,Eric,Everett,perezantonio@example.com,(921)690-4927,Jenniferfurt
1037,Timothy,Hamilton,sarasullivan@example.org,808-486-5241x99890,North John
1038,Cristian,Bennett,hayley86@example.org,001-833-518-2313,Port Amanda
1039,Christopher,Martinez,ybaldwin@example.net,001-330-906-5815x8159,North Michaelview
1040,Jeremy,Rogers,juliehowell@example.org,(758)713-8140x0355,South Dillon
1041,Michelle,Benjamin,kevin55@example.org,322.642.4619x729,Port Tiffany
1042,Brandon,Lee,amoreno@example.com,233-718-9576,North Teresaville
1043,Patrick,Murphy,jrojas@example.org,+1-238-868-5644,South Steven
1044,Emily,Williamson,maryholder@example.com,001-926-633-3750x6035,Kimberlyberg
1045,Brittany,Carroll,james39@example.org,5669320098,New Monica
1046,Lisa,Burns,byrdryan@example.com,001-296-625-1648,Michellehaven
1047,Justin,Morrow,smithamanda@example.org,+1-362-345-1787,Richardville
1048,Lee,Wilkerson,gomezlauren@example.com,667-961-9281x6060,Robertmouth
